split,image_id,source_image_path,checkpoint,iou_threshold,conf,imgsz,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
val,cf26c41245febfe67c2a1682cc4ee8752ee40ae3e49610314f45923b8bf5b08a,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cf26c41245febfe67c2a1682cc4ee8752ee40ae3e49610314f45923b8bf5b08a/images/cf26c41245febfe67c2a1682cc4ee8752ee40ae3e49610314f45923b8bf5b08a.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,15.605,40,46,38,8,2,0.8260869565217391,0.95,0.8837209302325583,0.7641190602372905,0.8637083717739695,6,6
val,cfabf7379c5591d40aa4a20c86b4197c6a25ab55887a9fca4f06c2dfc0f0e973,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/cfabf7379c5591d40aa4a20c86b4197c6a25ab55887a9fca4f06c2dfc0f0e973/images/cfabf7379c5591d40aa4a20c86b4197c6a25ab55887a9fca4f06c2dfc0f0e973.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,15.78,25,27,23,4,2,0.8518518518518519,0.92,0.8846153846153846,0.9096816314053986,0.9507967952957884,2,2
val,d0f2a00d3155c243048bc48944aef93fb08e2258d1fa5f9ccadd9140082bc22f,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d0f2a00d3155c243048bc48944aef93fb08e2258d1fa5f9ccadd9140082bc22f/images/d0f2a00d3155c243048bc48944aef93fb08e2258d1fa5f9ccadd9140082bc22f.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,17.34,29,30,24,6,5,0.8,0.8275862068965517,0.8135593220338982,0.8784746852787034,0.9319657095630358,1,1
val,d1b173875e2261f55014bd27bd7174b9ae1c769338c1b31b5d737e9e60175993,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d1b173875e2261f55014bd27bd7174b9ae1c769338c1b31b5d737e9e60175993/images/d1b173875e2261f55014bd27bd7174b9ae1c769338c1b31b5d737e9e60175993.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,14.499,9,11,9,2,0,0.8181818181818182,1.0,0.9,0.8680839629391429,0.9289558395507012,2,2
val,d1ba6089cae2f90cb7275ece10ca393c25f60ea17e5c9c3cea2399d31fd41869,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d1ba6089cae2f90cb7275ece10ca393c25f60ea17e5c9c3cea2399d31fd41869/images/d1ba6089cae2f90cb7275ece10ca393c25f60ea17e5c9c3cea2399d31fd41869.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,17.007,22,52,19,33,3,0.36538461538461536,0.8636363636363636,0.5135135135135135,0.7593403230152337,0.8586101530525617,30,30
val,d1dbc6ee7c44a7027e935d040e496793186b884a1028d0e26284a206c6f5aff0,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d1dbc6ee7c44a7027e935d040e496793186b884a1028d0e26284a206c6f5aff0/images/d1dbc6ee7c44a7027e935d040e496793186b884a1028d0e26284a206c6f5aff0.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,14.609,17,23,11,12,6,0.4782608695652174,0.6470588235294118,0.55,0.7561884506548537,0.8558988013148945,6,6
val,d256b32adda37f2301c9e46f34b7f9a36cce273256369ceb5dc2c73c3007e3c4,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d256b32adda37f2301c9e46f34b7f9a36cce273256369ceb5dc2c73c3007e3c4/images/d256b32adda37f2301c9e46f34b7f9a36cce273256369ceb5dc2c73c3007e3c4.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,18.742,33,65,23,42,10,0.35384615384615387,0.696969696969697,0.46938775510204084,0.7398199873510309,0.8466906010375314,32,32
val,d2815f2f616d92be35c7e8dcfe592deec88516aef9ffc9b21257f52b7d6d0354,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d2815f2f616d92be35c7e8dcfe592deec88516aef9ffc9b21257f52b7d6d0354/images/d2815f2f616d92be35c7e8dcfe592deec88516aef9ffc9b21257f52b7d6d0354.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,16.4,14,34,14,20,0,0.4117647058823529,1.0,0.5833333333333334,0.8292255090128883,0.9035052439019456,20,20
val,d2ce593bddf9998ce3b76328c0151d0ba4b644c293aca7f6254e521c448b305f,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d2ce593bddf9998ce3b76328c0151d0ba4b644c293aca7f6254e521c448b305f/images/d2ce593bddf9998ce3b76328c0151d0ba4b644c293aca7f6254e521c448b305f.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,13.971,12,12,11,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8676896647935574,0.9263975014732698,0,0
val,d32ea6d318626ca14a967d0c1ad3218aebfe636624a8d1173f5150dde8ff38cf,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d32ea6d318626ca14a967d0c1ad3218aebfe636624a8d1173f5150dde8ff38cf/images/d32ea6d318626ca14a967d0c1ad3218aebfe636624a8d1173f5150dde8ff38cf.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.05,512,13.1,10,12,10,2,0,0.8333333333333334,1.0,0.9090909090909091,0.889743252635587,0.9407272617515107,2,2
