split,model_key,image_id,source_image_path,checkpoint,iou_threshold,conf,imgsz,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
val,yolo11m,df9a4212ecb67bb4e58eba62f293b91f9d6f1dde73e38fa891c75661d419fc97,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/df9a4212ecb67bb4e58eba62f293b91f9d6f1dde73e38fa891c75661d419fc97/images/df9a4212ecb67bb4e58eba62f293b91f9d6f1dde73e38fa891c75661d419fc97.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,105.503,26,27,26,1,0,0.9629629629629629,1.0,0.9811320754716981,0.9186949913285685,0.9573758058124409,1,1
val,yolo11m,e1bcb583985325d0ef5f3ef52957d0371c96d4af767b13e48102bca9d5351a9b,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e1bcb583985325d0ef5f3ef52957d0371c96d4af767b13e48102bca9d5351a9b/images/e1bcb583985325d0ef5f3ef52957d0371c96d4af767b13e48102bca9d5351a9b.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,80.581,6,7,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.80841321738325,0.8936272303222308,1,1
val,yolo11m,e216ec5063d3562b793e434c491051bd8867f6c2e571e41137c7c560cc0e6a03,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e216ec5063d3562b793e434c491051bd8867f6c2e571e41137c7c560cc0e6a03/images/e216ec5063d3562b793e434c491051bd8867f6c2e571e41137c7c560cc0e6a03.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,94.031,21,22,17,5,4,0.7727272727272727,0.8095238095238095,0.7906976744186046,0.7974770930694502,0.8856202153124119,1,1
val,yolo11m,e23e11414ee645b51081fb202d38b793f0c8ef2940f8228ded384899d21b02c2,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e23e11414ee645b51081fb202d38b793f0c8ef2940f8228ded384899d21b02c2/images/e23e11414ee645b51081fb202d38b793f0c8ef2940f8228ded384899d21b02c2.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,278.888,199,209,187,22,12,0.8947368421052632,0.9396984924623115,0.9166666666666667,0.791703962149367,0.8813290522714734,10,10
val,yolo11m,e2d22d3d283915df8350d039278e314a23e6e8f2b41bdfc16df849e22dd13b36,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e2d22d3d283915df8350d039278e314a23e6e8f2b41bdfc16df849e22dd13b36/images/e2d22d3d283915df8350d039278e314a23e6e8f2b41bdfc16df849e22dd13b36.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,41.358,42,42,42,0,0,1.0,1.0,1.0,0.880077801871978,0.935646213543882,0,0
val,yolo11m,e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f/images/e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,38.041,15,18,14,4,1,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.7409692262569492,0.8469014616758105,3,3
val,yolo11m,e414b54f2036bcab61b9c0a966f65adf4b169097c13c740e03d6292ac076258c,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e414b54f2036bcab61b9c0a966f65adf4b169097c13c740e03d6292ac076258c/images/e414b54f2036bcab61b9c0a966f65adf4b169097c13c740e03d6292ac076258c.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,41.783,63,72,56,16,7,0.7777777777777778,0.8888888888888888,0.8296296296296296,0.8145481087544295,0.894451747315023,9,9
val,yolo11m,e4537e7893e631f3ba6ae5b1023e24b233c78249a31c2f5e561f6c4cad88fcf6,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e4537e7893e631f3ba6ae5b1023e24b233c78249a31c2f5e561f6c4cad88fcf6/images/e4537e7893e631f3ba6ae5b1023e24b233c78249a31c2f5e561f6c4cad88fcf6.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,38.794,21,21,20,1,1,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.8922045295924406,0.9417482002375708,0,0
val,yolo11m,e49fc2b4f1f39d481a6525225ab3f688be5c87f56884456ad54c953315efae83,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e49fc2b4f1f39d481a6525225ab3f688be5c87f56884456ad54c953315efae83/images/e49fc2b4f1f39d481a6525225ab3f688be5c87f56884456ad54c953315efae83.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,41.881,69,86,49,37,20,0.5697674418604651,0.7101449275362319,0.632258064516129,0.7979133945737169,0.884331338912035,17,17
val,yolo11m,e4ae1ceddb279bac30273ca7ac480025ce2e7287328f5272234b5bbca6d13135,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e4ae1ceddb279bac30273ca7ac480025ce2e7287328f5272234b5bbca6d13135/images/e4ae1ceddb279bac30273ca7ac480025ce2e7287328f5272234b5bbca6d13135.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,38.006,16,17,15,2,1,0.8823529411764706,0.9375,0.9090909090909091,0.8774285623698964,0.9333106020340469,1,1
val,yolo11m,e4fc936ba57a936aaa5941ccc70946ab18fcebcb6e8d85a097c584aff9ca4d88,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e4fc936ba57a936aaa5941ccc70946ab18fcebcb6e8d85a097c584aff9ca4d88/images/e4fc936ba57a936aaa5941ccc70946ab18fcebcb6e8d85a097c584aff9ca4d88.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,38.237,29,31,29,2,0,0.9354838709677419,1.0,0.9666666666666666,0.8918499185521014,0.9415482374108841,2,2
val,yolo11m,e50ac10d1dce6496d092d966784ed3795969128ca0bc58199a36d558ed529203,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e50ac10d1dce6496d092d966784ed3795969128ca0bc58199a36d558ed529203/images/e50ac10d1dce6496d092d966784ed3795969128ca0bc58199a36d558ed529203.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,44.19,67,82,62,20,5,0.7560975609756098,0.9253731343283582,0.8322147651006712,0.7937585981719429,0.8831870618914869,15,15
val,yolo11m,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2/images/e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,53.306,130,129,126,3,4,0.9767441860465116,0.9692307692307692,0.9729729729729729,0.8509855690868037,0.91823283039577,-1,1
val,yolo11m,e5384c905e9879cb6e8ff5250fb03155bc1db035d8dde458eece9078b7de8ff1,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e5384c905e9879cb6e8ff5250fb03155bc1db035d8dde458eece9078b7de8ff1/images/e5384c905e9879cb6e8ff5250fb03155bc1db035d8dde458eece9078b7de8ff1.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,41.004,28,28,26,2,2,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9265314263244165,0.9615073166047889,0,0
val,yolo11m,e5a6c5e01e6a4ef676a2d975374e995dd55792ea317a8e110bebc37da83a4ce8,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e5a6c5e01e6a4ef676a2d975374e995dd55792ea317a8e110bebc37da83a4ce8/images/e5a6c5e01e6a4ef676a2d975374e995dd55792ea317a8e110bebc37da83a4ce8.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,37.798,26,30,26,4,0,0.8666666666666667,1.0,0.9285714285714286,0.7863628450902937,0.8777870347378867,4,4
val,yolo11m,e5a7b8a9924b26b3abf039255a8a3bb00258f4966f68ff3349560b4350af9367,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e5a7b8a9924b26b3abf039255a8a3bb00258f4966f68ff3349560b4350af9367/images/e5a7b8a9924b26b3abf039255a8a3bb00258f4966f68ff3349560b4350af9367.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,40.489,20,19,19,0,1,1.0,0.95,0.9743589743589743,0.8946046611283882,0.9424140041553087,-1,1
val,yolo11m,e5aeb5b3577abbebe8982b5dd7d22c4257250ad3000661a42f38bf9248d291fd,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e5aeb5b3577abbebe8982b5dd7d22c4257250ad3000661a42f38bf9248d291fd/images/e5aeb5b3577abbebe8982b5dd7d22c4257250ad3000661a42f38bf9248d291fd.png,results/supervised/yolo_capacity_diagnostic_train_runs/yolo11m/weights/best.pt,0.5,0.25,512,47.936,2,3,2,1,0,0.6666666666666666,1.0,0.8,0.8936283185840708,0.9436216429699842,1,1
