split,image_id,source_image_path,checkpoint,iou_threshold,conf,imgsz,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
val,df5cdd0ebe1bdf8dc870bc294b8f08961e083bc7f9be69e268454aa9091808b9,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/df5cdd0ebe1bdf8dc870bc294b8f08961e083bc7f9be69e268454aa9091808b9/images/df5cdd0ebe1bdf8dc870bc294b8f08961e083bc7f9be69e268454aa9091808b9.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,25.612,22,20,19,1,3,0.95,0.8636363636363636,0.9047619047619048,0.8542108630559663,0.9199228595729505,-2,2
val,df9a4212ecb67bb4e58eba62f293b91f9d6f1dde73e38fa891c75661d419fc97,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/df9a4212ecb67bb4e58eba62f293b91f9d6f1dde73e38fa891c75661d419fc97/images/df9a4212ecb67bb4e58eba62f293b91f9d6f1dde73e38fa891c75661d419fc97.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,18.697,26,27,26,1,0,0.9629629629629629,1.0,0.9811320754716981,0.9051540538303761,0.9495249793845192,1,1
val,e1bcb583985325d0ef5f3ef52957d0371c96d4af767b13e48102bca9d5351a9b,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e1bcb583985325d0ef5f3ef52957d0371c96d4af767b13e48102bca9d5351a9b/images/e1bcb583985325d0ef5f3ef52957d0371c96d4af767b13e48102bca9d5351a9b.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,14.965,6,8,3,5,3,0.375,0.5,0.42857142857142855,0.7678208900176863,0.8666705912740462,2,2
val,e216ec5063d3562b793e434c491051bd8867f6c2e571e41137c7c560cc0e6a03,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e216ec5063d3562b793e434c491051bd8867f6c2e571e41137c7c560cc0e6a03/images/e216ec5063d3562b793e434c491051bd8867f6c2e571e41137c7c560cc0e6a03.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,16.074,21,22,16,6,5,0.7272727272727273,0.7619047619047619,0.7441860465116279,0.7806212445656167,0.8735215242301293,1,1
val,e23e11414ee645b51081fb202d38b793f0c8ef2940f8228ded384899d21b02c2,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e23e11414ee645b51081fb202d38b793f0c8ef2940f8228ded384899d21b02c2/images/e23e11414ee645b51081fb202d38b793f0c8ef2940f8228ded384899d21b02c2.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,55.418,199,232,185,47,14,0.7974137931034483,0.9296482412060302,0.8584686774941995,0.7835572981245859,0.8757853800130275,33,33
val,e2d22d3d283915df8350d039278e314a23e6e8f2b41bdfc16df849e22dd13b36,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e2d22d3d283915df8350d039278e314a23e6e8f2b41bdfc16df849e22dd13b36/images/e2d22d3d283915df8350d039278e314a23e6e8f2b41bdfc16df849e22dd13b36.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,73.677,42,45,41,4,1,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.8693830829600254,0.9295539398444995,3,3
val,e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f/images/e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,63.306,15,18,10,8,5,0.5555555555555556,0.6666666666666666,0.606060606060606,0.6488773771908359,0.7823837083126948,3,3
val,e414b54f2036bcab61b9c0a966f65adf4b169097c13c740e03d6292ac076258c,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e414b54f2036bcab61b9c0a966f65adf4b169097c13c740e03d6292ac076258c/images/e414b54f2036bcab61b9c0a966f65adf4b169097c13c740e03d6292ac076258c.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,92.881,63,82,53,29,10,0.6463414634146342,0.8412698412698413,0.7310344827586207,0.805083888109154,0.8890465757614953,19,19
val,e4537e7893e631f3ba6ae5b1023e24b233c78249a31c2f5e561f6c4cad88fcf6,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e4537e7893e631f3ba6ae5b1023e24b233c78249a31c2f5e561f6c4cad88fcf6/images/e4537e7893e631f3ba6ae5b1023e24b233c78249a31c2f5e561f6c4cad88fcf6.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,49.498,21,19,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.8993069686675892,0.9464245656939979,-2,2
val,e49fc2b4f1f39d481a6525225ab3f688be5c87f56884456ad54c953315efae83,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e49fc2b4f1f39d481a6525225ab3f688be5c87f56884456ad54c953315efae83/images/e49fc2b4f1f39d481a6525225ab3f688be5c87f56884456ad54c953315efae83.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,89.879,69,80,48,32,21,0.6,0.6956521739130435,0.6442953020134228,0.7702919573818727,0.8655461605697924,11,11
val,e4ae1ceddb279bac30273ca7ac480025ce2e7287328f5272234b5bbca6d13135,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e4ae1ceddb279bac30273ca7ac480025ce2e7287328f5272234b5bbca6d13135/images/e4ae1ceddb279bac30273ca7ac480025ce2e7287328f5272234b5bbca6d13135.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,61.883,16,18,16,2,0,0.8888888888888888,1.0,0.9411764705882353,0.8675210751287885,0.9275531545913802,2,2
val,e4fc936ba57a936aaa5941ccc70946ab18fcebcb6e8d85a097c584aff9ca4d88,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e4fc936ba57a936aaa5941ccc70946ab18fcebcb6e8d85a097c584aff9ca4d88/images/e4fc936ba57a936aaa5941ccc70946ab18fcebcb6e8d85a097c584aff9ca4d88.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,54.755,29,30,29,1,0,0.9666666666666667,1.0,0.983050847457627,0.875736739105215,0.9316726939275943,1,1
val,e50ac10d1dce6496d092d966784ed3795969128ca0bc58199a36d558ed529203,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e50ac10d1dce6496d092d966784ed3795969128ca0bc58199a36d558ed529203/images/e50ac10d1dce6496d092d966784ed3795969128ca0bc58199a36d558ed529203.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,80.044,67,74,59,15,8,0.7972972972972973,0.8805970149253731,0.8368794326241135,0.7484463652109037,0.8523268604878196,7,7
val,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2/images/e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,236.112,130,140,128,12,2,0.9142857142857143,0.9846153846153847,0.9481481481481482,0.8485064072644708,0.9170114242232319,10,10
val,e5384c905e9879cb6e8ff5250fb03155bc1db035d8dde458eece9078b7de8ff1,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e5384c905e9879cb6e8ff5250fb03155bc1db035d8dde458eece9078b7de8ff1/images/e5384c905e9879cb6e8ff5250fb03155bc1db035d8dde458eece9078b7de8ff1.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,85.834,28,29,26,3,2,0.896551724137931,0.9285714285714286,0.912280701754386,0.9242435540269704,0.9603300856645028,1,1
val,e5a6c5e01e6a4ef676a2d975374e995dd55792ea317a8e110bebc37da83a4ce8,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e5a6c5e01e6a4ef676a2d975374e995dd55792ea317a8e110bebc37da83a4ce8/images/e5a6c5e01e6a4ef676a2d975374e995dd55792ea317a8e110bebc37da83a4ce8.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,104.39,26,33,25,8,1,0.7575757575757576,0.9615384615384616,0.8474576271186441,0.7618058503442593,0.8621457833733273,7,7
val,e5a7b8a9924b26b3abf039255a8a3bb00258f4966f68ff3349560b4350af9367,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e5a7b8a9924b26b3abf039255a8a3bb00258f4966f68ff3349560b4350af9367/images/e5a7b8a9924b26b3abf039255a8a3bb00258f4966f68ff3349560b4350af9367.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,71.892,20,19,19,0,1,1.0,0.95,0.9743589743589743,0.8913602227478057,0.9385975841228018,-1,1
val,e5aeb5b3577abbebe8982b5dd7d22c4257250ad3000661a42f38bf9248d291fd,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e5aeb5b3577abbebe8982b5dd7d22c4257250ad3000661a42f38bf9248d291fd/images/e5aeb5b3577abbebe8982b5dd7d22c4257250ad3000661a42f38bf9248d291fd.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,51.094,2,4,2,2,0,0.5,1.0,0.6666666666666666,0.8480099903319368,0.9177106188218086,2,2
val,e5f8ad0f0a43af8ca57e31e16800108abdfb44a7e962a71d246f72d2dbde42bf,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e5f8ad0f0a43af8ca57e31e16800108abdfb44a7e962a71d246f72d2dbde42bf/images/e5f8ad0f0a43af8ca57e31e16800108abdfb44a7e962a71d246f72d2dbde42bf.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,47.888,6,6,6,0,0,1.0,1.0,1.0,0.9095903442285357,0.9525988274584982,0,0
val,e66a97b2c77f3d66a7d3cebbc6a36c8c6259368a397f7b67647ed80ad53aa776,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e66a97b2c77f3d66a7d3cebbc6a36c8c6259368a397f7b67647ed80ad53aa776/images/e66a97b2c77f3d66a7d3cebbc6a36c8c6259368a397f7b67647ed80ad53aa776.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,52.17,11,11,10,1,1,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8314586684788644,0.904675300684801,0,0
