image_id,method,config_id,iou_threshold,gpu,latency_ms,input_mode,normalize,invert,diameter,flow_threshold,cellprob_threshold,min_size,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,cellpose_cpsam,gray_mean,0.5,True,3968.527,gray_mean,True,False,,0.4,0.0,15,136,82,63,19,73,0.7682926829268293,0.4632352941176471,0.5779816513761468,0.7489072077108208,0.8508853421939182,-54,54
2bf594e9d06f78b4b79d7ffb395497a0a91126b6b0d710d7a9cee21f5c3bd177,cellpose_cpsam,gray_mean,0.5,True,716.406,gray_mean,True,False,,0.4,0.0,15,23,21,9,12,14,0.42857142857142855,0.391304347826087,0.4090909090909091,0.5689681114021635,0.7238790702273104,-2,2
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,cellpose_cpsam,gray_mean,0.5,True,702.904,gray_mean,True,False,,0.4,0.0,15,27,20,20,0,7,1.0,0.7407407407407407,0.851063829787234,0.8127344540677978,0.893917432688478,-7,7
0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,cellpose_cpsam,gray_mean,0.5,True,710.296,gray_mean,True,False,,0.4,0.0,15,28,25,25,0,3,1.0,0.8928571428571429,0.9433962264150945,0.933845581585983,0.9649612404856205,-3,3
1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,cellpose_cpsam,gray_mean,0.5,True,2015.325,gray_mean,True,False,,0.4,0.0,15,76,83,74,9,2,0.891566265060241,0.9736842105263158,0.930817610062893,0.9061860202800921,0.9497451117257585,7,7
2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,cellpose_cpsam,gray_mean,0.5,True,687.459,gray_mean,True,False,,0.4,0.0,15,16,17,16,1,0,0.9411764705882353,1.0,0.9696969696969697,0.8824125897411863,0.9357751425457665,1,1
33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,cellpose_cpsam,gray_mean,0.5,True,723.777,gray_mean,True,False,,0.4,0.0,15,23,18,18,0,5,1.0,0.782608695652174,0.878048780487805,0.8246316142493537,0.8994281818816747,-5,5
4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,cellpose_cpsam,gray_mean,0.5,True,698.642,gray_mean,True,False,,0.4,0.0,15,12,11,11,0,1,1.0,0.9166666666666666,0.9565217391304348,0.7945523796597218,0.8837783362737234,-1,1
5afcbfd0dd64392aa1e233b996d0bfb4354ee7119f30ae111c33d0fe4df11590,cellpose_cpsam,gray_mean,0.5,True,760.475,gray_mean,True,False,,0.4,0.0,15,27,25,25,0,2,1.0,0.9259259259259259,0.9615384615384615,0.9173655477198224,0.9538463826360545,-2,2
66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,cellpose_cpsam,gray_mean,0.5,True,689.069,gray_mean,True,False,,0.4,0.0,15,15,13,13,0,2,1.0,0.8666666666666667,0.9285714285714286,0.923083778799312,0.9590916107406853,-2,2
76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,cellpose_cpsam,gray_mean,0.5,True,696.997,gray_mean,True,False,,0.4,0.0,15,35,35,35,0,0,1.0,1.0,1.0,0.9016794846843704,0.9463289176819066,0,0
