split,image_id,method,method_label,perturbation,clean_object_f1,object_f1,absolute_object_f1_drop,relative_object_f1_drop,clean_precision,precision,precision_drop,clean_recall,recall,recall_drop,clean_absolute_count_error,absolute_count_error,absolute_count_error_delta,true_instances,pred_instances,false_positives,false_negatives,no_prediction
stage1_train_full,02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339,otsu_watershed,Otsu + watershed,clean,0.2553,0.2553,0.0,0.0,0.169,0.169,0.0,0.5217,0.5217,0.0,48,48,0,23,71,59,11,False
stage1_train_full,02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339,otsu_watershed,Otsu + watershed,gaussian_noise,0.2553,0.1217,0.1336,0.5232,0.169,0.0761,0.0929,0.5217,0.3043,0.2174,48,69,21,23,92,85,16,False
stage1_train_full,02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339,otsu_watershed,Otsu + watershed,gaussian_blur,0.2553,0.2292,0.0262,0.1024,0.169,0.1507,0.0183,0.5217,0.4783,0.0435,48,50,2,23,73,62,12,False
stage1_train_full,02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339,otsu_watershed,Otsu + watershed,downsample_upsample,0.2553,0.1957,0.0597,0.2337,0.169,0.1304,0.0386,0.5217,0.3913,0.1304,48,46,-2,23,69,60,14,False
stage1_train_full,02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339,otsu_watershed,Otsu + watershed,contrast_inversion,0.2553,0.2651,-0.0097,-0.0382,0.169,0.1833,-0.0143,0.5217,0.4783,0.0435,48,37,-11,23,60,49,12,False
stage1_train_full,03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776,otsu_watershed,Otsu + watershed,clean,0.8667,0.8667,0.0,0.0,0.9286,0.9286,0.0,0.8125,0.8125,0.0,2,2,0,16,14,1,3,False
stage1_train_full,03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776,otsu_watershed,Otsu + watershed,gaussian_noise,0.8667,0.7333,0.1333,0.1538,0.9286,0.7857,0.1429,0.8125,0.6875,0.125,2,2,0,16,14,3,5,False
stage1_train_full,03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776,otsu_watershed,Otsu + watershed,gaussian_blur,0.8667,0.7586,0.108,0.1247,0.9286,0.8462,0.0824,0.8125,0.6875,0.125,2,3,1,16,13,2,5,False
stage1_train_full,03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776,otsu_watershed,Otsu + watershed,downsample_upsample,0.8667,0.7586,0.108,0.1247,0.9286,0.8462,0.0824,0.8125,0.6875,0.125,2,3,1,16,13,2,5,False
stage1_train_full,03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776,otsu_watershed,Otsu + watershed,contrast_inversion,0.8667,0.8667,0.0,0.0,0.9286,0.9286,0.0,0.8125,0.8125,0.0,2,2,0,16,14,1,3,False
stage1_train_full,03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe,otsu_watershed,Otsu + watershed,clean,0.3056,0.3056,0.0,0.0,0.22,0.22,0.0,0.5,0.5,0.0,28,28,0,22,50,39,11,False
