split,image_id,method,method_label,perturbation,perturbation_params,iou_threshold,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam2_amg,SAM2 AMG,clean,{},0.5,1399.092,76,73,70,3,6,0.958904109589041,0.9210526315789473,0.9395973154362416,0.8988227825577809,0.9452238157683586,-3,3
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,42.962,76,201,29,172,47,0.14427860696517414,0.3815789473684211,0.20938628158844766,0.6909557294899894,0.8110670992853253,125,125
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,cellpose_cpsam,Cellpose-SAM,gaussian_noise,{'sigma': 0.08},0.5,1361.674,76,77,71,6,5,0.922077922077922,0.9342105263157895,0.9281045751633986,0.8668988766586426,0.9268477819636795,1,1
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam2_amg,SAM2 AMG,gaussian_noise,{'sigma': 0.08},0.5,1613.709,76,1,0,1,76,0.0,0.0,0.0,0.0,0.0,-75,75
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,38.34,76,159,43,116,33,0.27044025157232704,0.5657894736842105,0.3659574468085106,0.8102270285234835,0.8893946431916027,83,83
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,cellpose_cpsam,Cellpose-SAM,gaussian_blur,{'sigma': 1.5},0.5,1338.585,76,77,73,4,3,0.948051948051948,0.9605263157894737,0.9542483660130718,0.8923933379387873,0.9420980447636419,1,1
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam2_amg,SAM2 AMG,gaussian_blur,{'sigma': 1.5},0.5,1522.126,76,1,0,1,76,0.0,0.0,0.0,0.0,0.0,-75,75
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,39.539,76,168,44,124,32,0.2619047619047619,0.5789473684210527,0.3606557377049181,0.7850818693652215,0.8723122288838578,92,92
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,cellpose_cpsam,Cellpose-SAM,downsample_upsample,{'scale': 0.5},0.5,1335.465,76,80,74,6,2,0.925,0.9736842105263158,0.9487179487179489,0.8933281154938963,0.9426008077379885,4,4
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam2_amg,SAM2 AMG,downsample_upsample,{'scale': 0.5},0.5,1588.225,76,1,0,1,76,0.0,0.0,0.0,0.0,0.0,-75,75
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,39.191,76,174,39,135,37,0.22413793103448276,0.5131578947368421,0.31200000000000006,0.7923734381428742,0.8770715735023438,98,98
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,cellpose_cpsam,Cellpose-SAM,contrast_inversion,{},0.5,1351.835,76,82,74,8,2,0.9024390243902439,0.9736842105263158,0.9367088607594938,0.9077090041446438,0.950650388487357,6,6
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,sam2_amg,SAM2 AMG,contrast_inversion,{},0.5,1599.277,76,1,0,1,76,0.0,0.0,0.0,0.0,0.0,-75,75
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,otsu_watershed,Otsu + watershed,clean,{},0.5,6.209,16,19,14,5,2,0.7368421052631579,0.875,0.7999999999999999,0.8725120633896599,0.9276373412381663,3,3
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,cellpose_cpsam,Cellpose-SAM,clean,{},0.5,451.047,16,17,16,1,0,0.9411764705882353,1.0,0.9696969696969697,0.8890317788889467,0.93884494621054,1,1
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,sam2_amg,SAM2 AMG,clean,{},0.5,1503.532,16,1,0,1,16,0.0,0.0,0.0,0.0,0.0,-15,15
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,5.688,16,16,14,2,2,0.875,0.875,0.875,0.850682496710392,0.9178463306090973,0,0
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,cellpose_cpsam,Cellpose-SAM,gaussian_noise,{'sigma': 0.08},0.5,466.351,16,16,16,0,0,1.0,1.0,1.0,0.8964520863158105,0.9450657035435509,0,0
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,sam2_amg,SAM2 AMG,gaussian_noise,{'sigma': 0.08},0.5,1470.52,16,1,0,1,16,0.0,0.0,0.0,0.0,0.0,-15,15
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,5.3,16,20,15,5,1,0.75,0.9375,0.8333333333333334,0.7675015789599889,0.8610802146088476,4,4
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,cellpose_cpsam,Cellpose-SAM,gaussian_blur,{'sigma': 1.5},0.5,450.753,16,16,16,0,0,1.0,1.0,1.0,0.8929511699358209,0.9424269729488257,0,0
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,sam2_amg,SAM2 AMG,gaussian_blur,{'sigma': 1.5},0.5,1455.683,16,1,0,1,16,0.0,0.0,0.0,0.0,0.0,-15,15
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,5.433,16,17,15,2,1,0.8823529411764706,0.9375,0.9090909090909091,0.8696254203438443,0.9281624889399294,1,1
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,cellpose_cpsam,Cellpose-SAM,downsample_upsample,{'scale': 0.5},0.5,454.427,16,16,16,0,0,1.0,1.0,1.0,0.9076568933442446,0.9510210848464582,0,0
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,sam2_amg,SAM2 AMG,downsample_upsample,{'scale': 0.5},0.5,1437.799,16,1,0,1,16,0.0,0.0,0.0,0.0,0.0,-15,15
