split,image_id,method,method_label,perturbation,perturbation_params,iou_threshold,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_full,449a9c32e53a37c8a86e01c199155c8da3958b631088e10f6fe43c2119defe51,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,39.485,58,111,27,84,31,0.2432432432432432,0.4655172413793103,0.3195266272189349,0.7991698588711481,0.879132051677733,53,53
stage1_train_full,449a9c32e53a37c8a86e01c199155c8da3958b631088e10f6fe43c2119defe51,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,40.859,58,120,26,94,32,0.2166666666666666,0.4482758620689655,0.2921348314606742,0.774519286180635,0.8640005147247645,62,62
stage1_train_full,449f41710769584b5e4eca8ecb4c76d5272605f27da2949e6285de0860d2cbc0,otsu_watershed,Otsu + watershed,clean,{},0.5,39.643,34,100,18,82,16,0.18,0.5294117647058824,0.2686567164179104,0.773554838309288,0.8592173876003407,66,66
stage1_train_full,449f41710769584b5e4eca8ecb4c76d5272605f27da2949e6285de0860d2cbc0,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,40.092,34,105,13,92,21,0.1238095238095238,0.3823529411764705,0.1870503597122302,0.7130726251616317,0.8208686099385891,71,71
stage1_train_full,449f41710769584b5e4eca8ecb4c76d5272605f27da2949e6285de0860d2cbc0,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,37.078,34,91,17,74,17,0.1868131868131868,0.5,0.272,0.8103678102541156,0.883863118823987,57,57
stage1_train_full,449f41710769584b5e4eca8ecb4c76d5272605f27da2949e6285de0860d2cbc0,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,40.778,34,100,19,81,15,0.19,0.5588235294117647,0.2835820895522388,0.7738646282863053,0.8602085012927528,66,66
stage1_train_full,449f41710769584b5e4eca8ecb4c76d5272605f27da2949e6285de0860d2cbc0,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,37.733,34,95,19,76,15,0.2,0.5588235294117647,0.2945736434108527,0.741853329190709,0.8398325143487011,61,61
stage1_train_full,449fe932622db3b49366a260ddd20077219f96fb2dc0f912ad4f60b087876f3b,otsu_watershed,Otsu + watershed,clean,{},0.5,6.992,44,50,40,10,4,0.8,0.9090909090909092,0.8510638297872342,0.7908571203153387,0.8778902743506503,6,6
stage1_train_full,449fe932622db3b49366a260ddd20077219f96fb2dc0f912ad4f60b087876f3b,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,7.199,44,62,24,38,20,0.3870967741935484,0.5454545454545454,0.4528301886792452,0.7049830028042784,0.8234690466571113,18,18
stage1_train_full,449fe932622db3b49366a260ddd20077219f96fb2dc0f912ad4f60b087876f3b,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,7.206,44,48,39,9,5,0.8125,0.8863636363636364,0.8478260869565218,0.7944230455143912,0.8804442014797974,4,4
stage1_train_full,449fe932622db3b49366a260ddd20077219f96fb2dc0f912ad4f60b087876f3b,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,6.801,44,49,40,9,4,0.8163265306122449,0.9090909090909092,0.8602150537634408,0.7962397215421022,0.8818381574636718,5,5
stage1_train_full,449fe932622db3b49366a260ddd20077219f96fb2dc0f912ad4f60b087876f3b,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,6.687,44,47,39,8,5,0.8297872340425532,0.8863636363636364,0.8571428571428571,0.7801935046384685,0.871398543020149,3,3
stage1_train_full,44ab6a09eedee848b072ea3acd0f4e781f9c43b8d4e3d62598e1024584bf0b01,otsu_watershed,Otsu + watershed,clean,{},0.5,6.534,34,38,30,8,4,0.7894736842105263,0.8823529411764706,0.8333333333333333,0.7624729018943393,0.8612824183902508,4,4
stage1_train_full,44ab6a09eedee848b072ea3acd0f4e781f9c43b8d4e3d62598e1024584bf0b01,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,7.216,34,42,26,16,8,0.6190476190476191,0.7647058823529411,0.6842105263157895,0.7155907677819743,0.8308544896570732,8,8
stage1_train_full,44ab6a09eedee848b072ea3acd0f4e781f9c43b8d4e3d62598e1024584bf0b01,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,6.635,34,38,29,9,5,0.7631578947368421,0.8529411764705882,0.8055555555555555,0.7837783419954762,0.8758391261043612,4,4
stage1_train_full,44ab6a09eedee848b072ea3acd0f4e781f9c43b8d4e3d62598e1024584bf0b01,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,7.171,34,39,29,10,5,0.7435897435897436,0.8529411764705882,0.7945205479452054,0.7881193208055223,0.8781519958685753,5,5
stage1_train_full,44ab6a09eedee848b072ea3acd0f4e781f9c43b8d4e3d62598e1024584bf0b01,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,6.643,34,38,30,8,4,0.7894736842105263,0.8823529411764706,0.8333333333333333,0.7624729018943393,0.8612824183902508,4,4
stage1_train_full,4590d7d47f521df62f3bcb0bf74d1bca861d94ade614d8afc912d1009d607b94,otsu_watershed,Otsu + watershed,clean,{},0.5,11.99,81,114,51,63,30,0.4473684210526316,0.6296296296296297,0.5230769230769231,0.7911666429660354,0.8788436607695862,33,33
stage1_train_full,4590d7d47f521df62f3bcb0bf74d1bca861d94ade614d8afc912d1009d607b94,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,11.27,81,126,46,80,35,0.365079365079365,0.5679012345679012,0.4444444444444445,0.754765765605369,0.8537950109400131,45,45
stage1_train_full,4590d7d47f521df62f3bcb0bf74d1bca861d94ade614d8afc912d1009d607b94,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,10.957,81,103,56,47,25,0.5436893203883495,0.691358024691358,0.6086956521739131,0.7545696792082434,0.8538873659066748,22,22
stage1_train_full,4590d7d47f521df62f3bcb0bf74d1bca861d94ade614d8afc912d1009d607b94,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,11.459,81,113,51,62,30,0.4513274336283185,0.6296296296296297,0.5257731958762887,0.7619362996957192,0.8594469365279105,32,32
stage1_train_full,4590d7d47f521df62f3bcb0bf74d1bca861d94ade614d8afc912d1009d607b94,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,11.535,81,117,53,64,28,0.452991452991453,0.654320987654321,0.5353535353535354,0.7726330465234452,0.8662579648446633,36,36
stage1_train_full,4596961c789d3b41916492918797724fe75128239fefc516c3ee75322b7926f0,otsu_watershed,Otsu + watershed,clean,{},0.5,60.672,133,268,94,174,39,0.3507462686567164,0.706766917293233,0.4688279301745636,0.8022305571599041,0.8789753124083274,135,135
stage1_train_full,4596961c789d3b41916492918797724fe75128239fefc516c3ee75322b7926f0,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,56.366,133,325,57,268,76,0.1753846153846154,0.4285714285714285,0.2489082969432314,0.7085897216792751,0.8220996861722755,192,192
stage1_train_full,4596961c789d3b41916492918797724fe75128239fefc516c3ee75322b7926f0,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,49.652,133,249,93,156,40,0.3734939759036144,0.6992481203007519,0.4869109947643978,0.8179249211861097,0.891005845506224,116,116
stage1_train_full,4596961c789d3b41916492918797724fe75128239fefc516c3ee75322b7926f0,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,56.716,133,251,96,155,37,0.3824701195219123,0.7218045112781954,0.4999999999999999,0.8120601121738217,0.8863804946912189,118,118
stage1_train_full,4596961c789d3b41916492918797724fe75128239fefc516c3ee75322b7926f0,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,54.654,133,268,94,174,39,0.3507462686567164,0.706766917293233,0.4688279301745636,0.8022305571599041,0.8789753124083274,135,135
stage1_train_full,45c3bdef1819ba7029990e159f61543ed25781d13fb4dc5d4de52e803debd7d3,otsu_watershed,Otsu + watershed,clean,{},0.5,30.983,8,16,8,8,0,0.5,1.0,0.6666666666666666,0.7708466219333916,0.8566092790697367,8,8
stage1_train_full,45c3bdef1819ba7029990e159f61543ed25781d13fb4dc5d4de52e803debd7d3,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,30.573,8,22,6,16,2,0.2727272727272727,0.75,0.3999999999999999,0.6932326002109598,0.81405674853915,14,14
stage1_train_full,45c3bdef1819ba7029990e159f61543ed25781d13fb4dc5d4de52e803debd7d3,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,30.174,8,20,6,14,2,0.3,0.75,0.4285714285714285,0.8418286722066385,0.9080047321146342,12,12
stage1_train_full,45c3bdef1819ba7029990e159f61543ed25781d13fb4dc5d4de52e803debd7d3,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,29.859,8,18,7,11,1,0.3888888888888889,0.875,0.5384615384615385,0.7489525055169909,0.8465046205186647,10,10
stage1_train_full,45c3bdef1819ba7029990e159f61543ed25781d13fb4dc5d4de52e803debd7d3,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,27.543,8,16,8,8,0,0.5,1.0,0.6666666666666666,0.7708466219333916,0.8566092790697367,8,8
