split,image_id,method,method_label,perturbation,clean_object_f1,object_f1,absolute_object_f1_drop,relative_object_f1_drop,clean_precision,precision,precision_drop,clean_recall,recall,recall_drop,clean_absolute_count_error,absolute_count_error,absolute_count_error_delta,true_instances,pred_instances,false_positives,false_negatives
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,otsu_watershed,Otsu + watershed,downsample_upsample,0.381,0.2778,0.1032,0.2708,0.3,0.2041,0.0959,0.5217,0.4348,0.087,17,26,9,23,49,39,13
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,otsu_watershed,Otsu + watershed,intensity_scale,0.381,0.381,0.0,0.0,0.3,0.3,0.0,0.5217,0.5217,0.0,17,17,0,23,40,28,11
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,otsu_watershed,Otsu + watershed,contrast_inversion,0.381,0.3438,0.0372,0.0977,0.3,0.2683,0.0317,0.5217,0.4783,0.0435,17,18,1,23,41,30,12
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,otsu_watershed,Otsu + watershed,clean,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,75,75,0,12,87,87,12
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,otsu_watershed,Otsu + watershed,gaussian_noise,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,75,86,11,12,98,98,12
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,otsu_watershed,Otsu + watershed,poisson_noise,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,75,103,28,12,115,115,12
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,otsu_watershed,Otsu + watershed,gaussian_blur,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,75,69,-6,12,81,81,12
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,otsu_watershed,Otsu + watershed,downsample_upsample,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,75,75,0,12,87,87,12
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,otsu_watershed,Otsu + watershed,intensity_scale,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,75,75,0,12,87,87,12
stage1_train_clean20_subset,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,otsu_watershed,Otsu + watershed,contrast_inversion,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,75,81,6,12,93,93,12
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,otsu_watershed,Otsu + watershed,clean,0.0552,0.0552,0.0,0.0,0.033,0.033,0.0,0.1691,0.1691,0.0,562,562,0,136,698,675,113
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,otsu_watershed,Otsu + watershed,gaussian_noise,0.0552,0.053,0.0022,0.0394,0.033,0.0312,0.0018,0.1691,0.1765,-0.0074,562,634,72,136,770,746,112
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,otsu_watershed,Otsu + watershed,poisson_noise,0.0552,0.066,-0.0108,-0.1958,0.033,0.0386,-0.0056,0.1691,0.2279,-0.0588,562,668,106,136,804,773,105
stage1_train_clean20_subset,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,otsu_watershed,Otsu + watershed,gaussian_blur,0.0552,0.0317,0.0235,0.4261,0.033,0.0197,0.0133,0.1691,0.0809,0.0882,562,423,-139,136,559,548,125
