split,image_id,method,method_label,config_id,sweep_group,perturbation,perturbation_index,perturbation_params,iou_threshold,sam2_config,checkpoint,points_per_side,pred_iou_thresh,stability_score_thresh,min_mask_region_area,crop_n_layers,box_nms_thresh,raw_amg_masks,zero_prediction,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_clean20_subset,66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,15,False,796.329,15,15,11,4,4,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8563075137678609,0.9195056866188484,0,0
stage1_train_clean20_subset,76c44d1addac92a65f1331f2d93f4e3b130bd4e538a6e5239c3ac1f4c403608a,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,24,False,814.641,35,18,4,14,31,0.2222222222222222,0.1142857142857142,0.1509433962264151,0.7986026577444882,0.8864922293182042,-17,17
stage1_train_clean20_subset,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,28,False,779.996,18,10,5,5,13,0.5,0.2777777777777778,0.3571428571428571,0.9284907002839856,0.9627829207395732,-8,8
stage1_train_clean20_subset,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,46,False,814.607,51,1,0,1,51,0.0,0.0,0.0,0.0,0.0,-50,50
stage1_train_clean20_subset,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,27,False,845.125,26,25,21,4,5,0.84,0.8076923076923077,0.8235294117647058,0.8819162733706817,0.9339088504020748,-1,1
stage1_train_clean20_subset,ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,55,False,766.733,84,8,0,8,84,0.0,0.0,0.0,0.0,0.0,-76,76
stage1_train_clean20_subset,b909aa8f6f4bec37c3fb6ff5a85d166162d07983506fcc57be742b0f9dbafbf7,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,12,False,671.919,9,11,6,5,3,0.5454545454545454,0.6666666666666666,0.6,0.8558058544627997,0.9188584798897776,2,2
stage1_train_clean20_subset,c6216cdc42f61bc345434986db42e2ef9b9741aee3210b7a808e952e319d2305,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,14,False,986.205,32,14,10,4,22,0.7142857142857143,0.3125,0.4347826086956521,0.7430713991260867,0.8492544867092455,-18,18
stage1_train_clean20_subset,d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,22,False,862.607,22,20,18,2,4,0.9,0.8181818181818182,0.8571428571428572,0.8854362155866773,0.9357786238602964,-2,2
stage1_train_clean20_subset,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,sam2_amg,SAM2 AMG,points_per_side_16,points_per_side,clean,0,{},0.5,configs/sam2.1/sam2.1_hiera_l.yaml,model_assets/sam2/sam2.1_hiera_large.pt,16,0.8,0.9,15,0,0.7,82,False,779.053,130,82,81,1,49,0.9878048780487804,0.6230769230769231,0.7641509433962265,0.9070106795748212,0.9505650974019092,-48,48
